よう。「調子」はどうだい？,成績,調子,挨拶,天気
今日も俺は「残業」だよ。はぁ……,残業,宿題,パーティー,フィーバー
「指示」通りにはしてるのにな,会議,実験,レシピ,指示
あの「課長」には困ったもんだよ,お母さん,ママ,課長,先生
やあ。俺？「睡眠不足」でな。ふあぁ……,超元気,課長,睡眠不足,会社
「栄養ドリンク」がないとつらくてな,クスリ,おつまみ,カメラ,栄養ドリンク
寝ようにも「書類」が多くて……,書類,ゲーム,社長,パソコン
早退すると仕事が増えるとか、あれじゃ「脅迫」だよ,お祝い,号泣,休憩,脅迫
「トラブル」なんかないほうが良いだろ,学校,トラブル,調査,ゲーム
たまには「気分転換」したいよな,残業,ジャンプ,暇,気分転換
せっかくの日曜なのに、「休日」の仕事は嫌だよな,簡単,休日,自分,大好き
予定があったのに、「家族」にも迷惑がかかるし……,家族,課長,ペット,学校
あの、少し「相談」してもいいですか？,相談,喧嘩,フラフープ,天気
課長に「叱られて」しまって……,叱られて,褒められて,遊んで,飲んで
人件費の無駄だ、とか。書類に「不備」があっただけなんですが,紙,不備,文字,USB
僕って「仕事」できないのでしょうか,スポーツ,遊び,就職,仕事
先輩も「休憩」ですか？,苦行,ゲーム,休憩,問題
ちょっと「心配事」がありまして……,心配事,楽しみ,パソコン,会社
はい、課長に「嫌われて」いるような気がしてまして,最高,悲しく,嫌われて,面白がって
僕だけ仕事が「多い」気がするんですよ,低い,多い,大体,囲い
こんにちは、「休憩」ですか？,パーティー,休憩,ダンス,問答
実は、「心配事」があるんですよ,自慢話,お酒,心配事,漫画
新人全員参加だ、って言われた「飲み会」があって……,デート,修行,瞑想,飲み会
「予定」があったんですけど、休ませてもらえなくて,予定,学校,ラーメン,気分
よう。タバコ、「ライター」あるか？,火打石,バーナー,ライター,ガソリン
課長に「無茶」言われてな……,媚び,告白,無茶,やんちゃ
ああ、さっきの「会議」でさ,大会,会議,カラオケ,運動会
通した企画、課長の「手柄」にされちまった,手柄,責任,必殺技,口癖
大変そうだな。「コーヒー」いるか？,コーヒー,焼酎,火炎瓶,仕事
ああ、こっちもなかなか「大変」でさ,楽ちん,炎上,大変,便乗
ちょっと「失敗」があってな,失敗,大成功,フィーバー,旅行
俺のミスじゃないんだが、課長に「責任」被らされたんだ！,帽子,責任,バケツ,黒板消し
お疲れ様。「調子」はどうだ？,運勢,ご機嫌,テンション,調子
ちょっとこの「明細書」を見てくれよ,明細書,火事,ダンス,天気
カレンダーと合わせて見ると「計算」が合わないんだ,相性,計算,ウマ,形状
これ、「残業代」が出てないんだ！,コマンド,水道代,新作,残業代
